RuleSet	Average Value,	Connectedness	Chaos
128	24.314	-6.842000000000000	0.026
129	24.589	-6.714000000000000	0.013
130	24.954	-6.273	0.013
131	24.8	-6.781000000000000	0.026
132	24.966	-6.836000000000000	0.013
133	24.794	-6.883000000000000	0.038
134	24.512	-6.77	0.038
135	22.086	1.2620000000000000	0.57
136	22.323	-3.9640000000000000	0.378
137	22.477	3.8790000000000000	0.442
138	23.936	-5.163	0.493
139	23.75	-5.362000000000000	0.397
140	23.686	-5.154	0.531
141	27.027	19.152	0.749
142	21.344	-3.495000000000000	0.416
143	25.542	17.646	0.589
144	24.538	-5.896000000000000	0.506
145	24.73	-5.851000000000000	0.557
146	24.87	-5.699000000000000	0.659
147	24.723	-5.735000000000000	0.589
148	24.358	-5.634	0.621
149	24.416	-5.720000000000000	0.57
150	24.461	-5.227000000000000	0.755
151	24.493	-5.869	0.493
152	24.09	-5.34	0.576
153	45.517	29.808	1.306
154	19.379	5.039000000000000	1.606
155	56.339	27.213000000000000	1.542
156	21.018	-2.9460000000000000	0.429
157	21.222	-3.3840000000000000	0.538
158	20.755	-2.7350000000000000	0.506
159	55.725	28.480000000000000	1.363
160	18.995	4.636000000000000	1.696
161	63.539	24.043000000000000	1.344
162	72.109	-1.8229999999999900	0.0
163	70.477	-2.9650000000000000	0.0
164	74.458	0.48499999999999900	0.0
165	64.205	-6.097000000000000	0.026
166	64.32	-6.127999999999990	0.026
167	62.17	-6.673000000000000	0.205
168	88.55	2.1000000000000100	0.0
169	71.904	-2.0590000000000000	1.965
170	91.283	2.837999999999990	0.0
171	56.589	-11.506	0.269
172	56.781	-11.595000000000000	0.211
173	56.378	-11.722000000000000	0.179
174	56.55	-12.001000000000000	0.41
175	56.141	-11.731000000000000	0.186
176	56.0	-12.313000000000000	0.621
177	60.474	-3.3130000000000000	19.59
178	59.475	-3.3200000000000000	19.725
179	60.922	-2.523999999999990	21.722
180	87.334	0.20999999999999400	0.0
181	75.437	-3.411999999999990	0.435
